datetime,amount,description
3/28/24 0:00,-12864.74,ACH DEBIT PAYMENT PROCESSOR PAYABLES GRANITE PEAK HEIGHTS CAPITAL LLC KG63O2LEMOJ
5/4/23 0:00,-12666.5,"INCOMING WIRE ""CROWNWELL POINT DIGITAL PLC"" 7C5VYIV68"
6/6/23 0:00,-11918.98,ACH DEBIT CARD PROCESSOR ACH PMT GOLDLEAF SUMMIT GROUP LTD IWGNHY2X373MTBZM
4/21/23 0:00,-11666.67,ACH DEBIT PAYMENT PROCESSOR PAYABLES OAKBRIDGE CREEK CORP GJ0WPB7LRFW  7
11/8/23 0:00,-11666.66,ACH DEBIT PAYMENT PROCESSOR PAYABLES WILLOWBEND PROPERTIES CO SR9GZZI1JHQ 9
11/13/23 0:00,-11119.82,INTERNET TRANSFER TO DDA# 20391281107 ON31 AT 06.02
3/14/24 0:00,-10841.67,ACH DEBIT PAYMENT PROCESSOR PAYABLES PARKSTONE ADVISORS LTD HLHEI4R8J 3
11/3/23 0:00,-10385.56,"ACH DEBIT CARD PROCESSOR ACH PMT ""SUNRIDGE PROJECTS LTD"" 3E5E3T76R"
12/5/23 0:00,-10385.56,"ACH CREDIT ACCOUNTING APP EQQIDXOSXW13G 8 DEPOSIT RIDGEVIEW LEDGER CO, L AT8MSFSA"
10/3/23 0:00,-10385.56,ZELLE DEBIT PAYMENT TO: N. GARCIA . ID: GM0SMZB2W5ZEG
12/6/23 0:00,-10132.08,ZELLE DEBIT PAYMENT TO: A. YOUNG . ID: XVYT6ANYGP 1
1/12/24 0:00,-10005.83,ACH DEBIT PAYMENT PROCESSOR PAYABLES RIVERBEND BLOOM OPERATIONS CO WK14E5MWAYYVNUK1
1/25/24 0:00,-10000,INTERNET TRANSFER TO DDA# 20975002948 ON30 AT 00.22
4/13/23 0:00,-9936.69,ACH DEBIT PAYMENT PROCESSOR PAYABLES TIMBERLINE VENTURES CORP 24R7LZK9MWZS
11/22/23 0:00,-9905.08,ACH DEBIT PAYMENT PROCESSOR PAYABLES BROOKFIELD PROPERTIES LP 14M57R3FK5V
6/2/23 0:00,-9866,ACH DEBIT TAX AUTHORITY PAYMENT VLGG7ICAARW20XAA4
1/18/24 0:00,-9450,ACH DEBIT CARD PROCESSOR ACH PMT AMBERWOOD LEDGER GROUP PLC RZ7LNILI7EY8F
8/22/23 0:00,-9166,ACH DEBIT PAYMENT PROCESSOR PAYABLES SOUTHPORT VALE CORP ZCVXELCVLF9 2
5/4/23 0:00,-9036.43,"ACH CREDIT ACCOUNTING APP FGB0JKZ4C5L9NF4L DEPOSIT AMBERWOOD HARBOR DATA CO, L 0LR6F1SUM6G"
3/8/23 0:00,-8463.28,ZELLE DEBIT PAYMENT TO: O. PATEL . ID: DNW37QSC8PN64L 1
6/20/23 0:00,-8424.01,ZELLE DEBIT PAYMENT TO: K. ADAMS . ID: SGPI2FKYFUF1A8G
6/7/23 0:00,-8203.66,ACH DEBIT PAYMENT PROCESSOR PAYABLES NORTHLAKE ANALYTICS LTD C78GHH50 3
9/26/23 0:00,-7980.42,"ACH CREDIT ACCOUNTING APP O84XK08TQP DEPOSIT ASHGROVE HARBOR CO, L MHJKOUD"
1/16/24 0:00,-7751.33,"ZELLE DEBIT PAYMENT TO: ""Q. BROWN"" . ID: ALDC2040YUW"
10/24/23 0:00,-7641.92,ACH DEBIT PAYMENT PROCESSOR PAYABLES SUMMIT LEDGER LP SKJNYSA4MJB9
4/14/23 0:00,-7344.99,ACH DEBIT PAYMENT PROCESSOR PAYABLES CROWNWELL ANALYTICS CORP 46U4TLGM5 3
4/3/23 0:00,-7063.14,ACH DEBIT CARD PROCESSOR ACH PMT CLIFFSIDE CROSSING LLC MNO41TCGJYDGQP
10/19/23 0:00,-6769.5,"INCOMING WIRE ""TIMBERLINE STRATEGY LP"" SQA9DEYWUOZ2BY"
10/6/23 0:00,-6730.5,"ACH CREDIT ACCOUNTING APP 8WC6CDMI 4 DEPOSIT SUMMIT INDUSTRIES LP, L 673XUP8"
3/5/24 0:00,-6666.66,ACH DEBIT PAYMENT PROCESSOR PAYABLES CRESCENT RIDGE SYSTEMS LLC BBQAW064N
1/9/24 0:00,-6666.66,ACH DEBIT PAYMENT PROCESSOR PAYABLES COBALT RIDGE HORIZON PROJECTS LTD LZOC9TVVXW69 1
12/8/23 0:00,-6666.66,ZELLE DEBIT PAYMENT TO: X. CHEN . ID: WFE9G9NOWDV8N 2
4/7/23 0:00,-6666,INTERNET TRANSFER TO DDA# 20966363918 ON17 AT 08.48
8/16/23 0:00,-6666,ACH DEBIT PAYMENT PROCESSOR PAYABLES STONECREST POINT PARTNERS LLC I38J3IOB14
12/7/23 0:00,-6000,ACH DEBIT TAX AUTHORITY PAYMENT XBA2AE4WMB 7
3/4/24 0:00,-5969.15,ACH DEBIT PAYMENT PROCESSOR PAYABLES ROCKBRIDGE ANALYTICS INC 1V7QA0OYSI7TSR 6
3/19/24 0:00,-5621.68,ACH DEBIT CARD PROCESSOR ACH PMT RIVERTON GROUP LLC XBAQHXNJGK29
9/8/23 0:00,-5587.53,ACH DEBIT PAYMENT PROCESSOR PAYABLES SEAVIEW HARBOR LTD GMY9PSGI
3/12/24 0:00,-5456.88,INTERNET TRANSFER TO DDA# 20583412177 ON07 AT 10.44
8/3/23 0:00,-5420,INTERNET TRANSFER TO DDA# 20154830026 ON09 AT 22.32
8/3/22 0:00,-5262.32,ACH DEBIT PAYMENT PROCESSOR PAYABLES REDWOOD STRATEGY PLC LSH5CCU3YA4LUJYQ 8
2/20/24 0:00,-5227.08,INCOMING WIRE HILLCREST DIGITAL INC P735RHKZ
8/1/23 0:00,-5209,ACH DEBIT CARD PROCESSOR ACH PMT STONEGATE SANDS LLC T4NMQ3KKB4V07X 8
4/24/23 0:00,-5045.27,ACH DEBIT PAYMENT PROCESSOR PAYABLES ATLAS RIDGE LP Y5NIJ6H58ZR3MMQ 8
2/26/24 0:00,-5000,ACH DEBIT PAYMENT PROCESSOR PAYABLES EASTWOOD FIELD DIGITAL PLC 8YDOI76R7OA86D
12/21/23 0:00,-5000,ZELLE DEBIT PAYMENT TO: S. BELL . ID: 76HMADI53C 8
3/22/24 0:00,-4950,ACH DEBIT PAYMENT PROCESSOR PAYABLES STONEWELL SANDS CORP 6OT7R0H6N
2/22/24 0:00,-4950,ACH DEBIT TAX AUTHORITY PAYMENT SQUZRWEL5P2V 7
5/3/23 0:00,-4825.57,"ACH CREDIT ACCOUNTING APP 9OADJ8T1H800PO DEPOSIT CLEARWATER CANYON CORP, L K9M1KG9MDDBYC"
3/3/23 0:00,-4500.09,ACH DEBIT PAYMENT PROCESSOR PAYABLES PARKSTONE VALLEY INC B826MBA
9/21/23 0:00,-4500,ACH DEBIT CARD PROCESSOR ACH PMT SOUTHGATE  BAY PROJECTS LP ZTMUWOT5 6
2/23/23 0:00,-4500,ACH DEBIT PAYMENT PROCESSOR PAYABLES REDWOOD MEADOW DATA LLC DJL3VEDEOZJJLJU11
12/21/23 0:00,-4500,ACH DEBIT PAYMENT PROCESSOR PAYABLES GREENLINE EDGE SYSTEMS PLC 271YA1
5/19/23 0:00,-4500,ACH DEBIT PAYMENT PROCESSOR PAYABLES LAKESHORE HEIGHTS LTD DEHVVI
9/18/23 0:00,-4410.79,ACH DEBIT PAYMENT PROCESSOR PAYABLES CROWNWELL SERVICES LLC L2NQEJI 2
5/5/23 0:00,-4400,ACH DEBIT CARD PROCESSOR ACH PMT SOUTHGATE  BAY PROJECTS LP ZTMUWOT5 6
3/8/23 0:00,-4387.88,INSTANT TRANSFER TO DDA# 20565306643 ON02 AT 13.41
9/29/23 0:00,-4334.24,ZELLE DEBIT PAYMENT TO: D. KIM . ID: 9B5OK3
11/13/23 0:00,-4300.35,ACH DEBIT PAYMENT PROCESSOR PAYABLES ASHGROVE BLOOM OPERATIONS INC K7VSBD4GV
10/1/22 0:00,-4285.05,ZELLE DEBIT PAYMENT TO: W. SINGH . ID: X787AD
4/5/23 0:00,-3988.6,ACH DEBIT CARD PROCESSOR ACH PMT HARBORPOINT VALE LP QSV01P7CQ7PVIJ
5/1/23 0:00,-3943.75,INTERNET TRANSFER TO DDA# 20372545290 ON05 AT 02.42
9/26/23 0:00,-3896.29,ACH DEBIT PAYMENT PROCESSOR PAYABLES MEADOWLARK CANYON INC QHGFB0YWJZ1E3R
2/20/24 0:00,-3891.67,ACH DEBIT PAYMENT PROCESSOR PAYABLES CLIFFSIDE POINTE INC T7L5S8BQMSQL2
1/31/24 0:00,-3781,"ACH CREDIT ACCOUNTING APP YCQWEJPVUS96 8 DEPOSIT OAKRIDGE CREEK SECURITY CO, L KS9921BOUZCN5A"
5/25/23 0:00,-3632,ACH DEBIT PAYMENT PROCESSOR PAYABLES PINECREST VISTA CO K45OM2W2O
3/29/23 0:00,-3426.6,INTERNET TRANSFER TO DDA# 20250955388 ON28 AT 21.16
1/16/24 0:00,-3373.18,ACH DEBIT PAYMENT PROCESSOR PAYABLES SPRINGLINE SHORE INDUSTRIES CORP T1JX3P
9/18/23 0:00,-3205.95,INTERNET TRANSFER TO DDA# 20203373061 ON07 AT 04.04
8/14/23 0:00,-3193.66,ACH  DEBIT TAX AUTHORITY PAYMENT 54JXAUJN8AKXW
2/28/24 0:00,-3101.83,INTERNET TRANSFER TO DDA# 20177571845 ON07 AT 13.51
10/19/23 0:00,-3097.89,ACH DEBIT PAYMENT PROCESSOR PAYABLES SAGE VALLEY MEADOW LP LZGTNO6
1/2/24 0:00,-3046.18,INCOMING WIRE AUTUMN RIDGE SPRINGS INC 0VB5JWS7SQM
10/3/23 0:00,-3036.71,ACH DEBIT PAYMENT PROCESSOR PAYABLES LEDGER OPERATIONS CORP MOU9PUAI
8/8/22 0:00,-2977.2,INCOMING WIRE GOLDLEAF CREEK CO GUGKR3H4ZDEZQENF
5/10/23 0:00,-2838.43,INCOMING WIRE MERIDIAN PROPERTIES CORP GAB3XXJ8G8KA2I72
2/28/24 0:00,-2800.98,ACH DEBIT CARD PROCESSOR ACH PMT AUTUMN RIDGE CREEK LLC COUE9MN7PRE0CP
2/28/24 0:00,-2657,ACH DEBIT PAYMENT PROCESSOR PAYABLES ATLAS CONSULTING CO VVFYLAXR
2/28/24 0:00,-2657,ACH DEBIT PAYMENT PROCESSOR PAYABLES COBALT RIDGE DIGITAL CO 0YXSEN3UXQEO4RI
2/20/24 0:00,-2651.06,ACH DEBIT PAYMENT PROCESSOR PAYABLES BLUE HARBOR STRATEGY PLC 44D5353O 7
2/29/24 0:00,-2500,ACH DEBIT PAYMENT PROCESSOR PAYABLES SEABRIGHT PARK SYSTEMS INC GIK1X1
12/12/22 0:00,-2500,ACH DEBIT CARD PROCESSOR ACH PMT TIMBERLINE INDUSTRIES PLC ZVU8B9C82
4/28/23 0:00,-2500,INCOMING WIRE CLIFFSIDE SUMMIT INC V13F8C0USJO20F
4/13/23 0:00,-2500,"ACH CREDIT ACCOUNTING APP IH1HGVQ DEPOSIT SPRINGLINE ATLAS LLC, L DHU9I0"
11/30/23 0:00,-2500,"ACH DEBIT CARD PROCESSOR ACH PMT ""MAPLECREST EDGE LLC"" HC3XRH74K7PWB 9"
9/18/23 0:00,-2455.06,ACH DEBIT TAX AUTHORITY PAYMENT TJNCVBTM
11/13/22 0:00,-2376.09,ACH DEBIT PAYMENT  PROCESSOR PAYABLES SILVERLINE SHORE CORP TXCCZ6PX6
10/3/23 0:00,-2039.73,ZELLE DEBIT PAYMENT TO: W. BELL . ID: B5X89P 8
10/28/22 0:00,-2003.36,ACH DEBIT CARD PROCESSOR ACH PMT RIDGEVIEW VALE INC 01N51XSQYL9I5V9
7/18/22 0:00,-1946.64,MOBILE DEPOSIT 0JR
9/8/23 0:00,-1854.14,ACH DEBIT PAYMENT PROCESSOR PAYABLES STONEWELL POINTE LLC PFHLF1BYT57
9/29/22 0:00,-1793,ACH DEBIT PAYMENT PROCESSOR PAYABLES PARKSTONE SHORE CO C23GMTG254NI
10/28/22 0:00,-1781.73,INCOMING WIRE WESTGATE PARTNERS CO 7W8UICKIV4
9/11/23 0:00,-1766,ACH DEBIT PAYMENT PROCESSOR PAYABLES HARBORVIEW FORGE DIGITAL LP XNVKCWEWQ33 4
6/20/23 0:00,-1649.93,ACH DEBIT PAYMENT PROCESSOR PAYABLES MAPLECREST PROJECTS INC 69TITRZN8BM6TX7
9/12/23 0:00,-1592.28,ACH DEBIT PAYMENT PROCESSOR PAYABLES COBALT RIDGE MERIDIAN DATA LTD XQXO16LZ
1/8/24 0:00,-1589.57,"ACH DEBIT CARD PROCESSOR ACH PMT ""WILLOWBEND EDGE ANALYTICS CO"" NT9H9SX"
12/19/23 0:00,-1588.3,ACH DEBIT CARD PROCESSOR ACH PMT ATLAS SANDS LP HE6V16FQK
10/28/22 0:00,-1547.43,ACH DEBIT CARD PROCESSOR ACH PMT HARBORVIEW BLOOM LTD KKPYQPOF5529UI 7
11/15/23 0:00,-1535,"ACH CREDIT ACCOUNTING APP UKXM2NWN DEPOSIT IRONWOOD BRIDGE INC, L UJPQA45QBE1SF0"
10/12/23 0:00,-1500,ACH DEBIT CARD PROCESSOR ACH PMT BROOKFIELD ATLAS INC A6YPQTLV
7/6/23 0:00,-1447.04,"""ACH DEBIT TAX AUTHORITY PAYMENT ZC25O4SY"""
9/15/23 0:00,-1405.81,ATM WITHDRAWAL #2462 455 RIDGEVIEW RD ANYTOWN TX TERMINAL TA07
9/18/23 0:00,-1402.8,INTERNET TRANSFER TO DDA# 20049671172 ON08 AT 22.31
9/22/23 0:00,-1365,"ACH CREDIT ACCOUNTING APP F7CJQJZLI 8 DEPOSIT SILVERPOINT HARBOR LABS PLC, L QFGLU6O8"
3/29/23 0:00,-1318.73,ACH DEBIT PAYMENT PROCESSOR PAYABLES CROWNWELL PROJECTS LLC KMIORBD
11/17/22 0:00,-1296.11,MOBILE DEPOSIT NYFW
9/16/22 0:00,-1227.2,"ACH CREDIT ACCOUNTING APP MA5QPLMHC1FFBKIY 8 DEPOSIT CLEARWATER VALLEY LP, L GIQ42XU"
4/5/23 0:00,-1193,INTERNET TRANSFER TO DDA# 20239813915 ON19 AT 10.33
12/6/23 0:00,-1177.68,ACH DEBIT PAYMENT PROCESSOR PAYABLES LONEPINE SUMMIT LP UE46W62A
4/13/23 0:00,-1104.75,ACH DEBIT TAX AUTHORITY PAYMENT A8LVWJI
1/17/23 0:00,-1097.41,ZELLE DEBIT PAYMENT TO: V. HILL . ID: F2Y9G3Y3JPC7
10/24/23 0:00,-1088.75,"""ACH DEBIT TAX AUTHORITY PAYMENT YH4T5E96NGJO8M 4"""
1/26/24 0:00,-1076.66,ACH DEBIT PAYMENT PROCESSOR PAYABLES SEABRIGHT OPERATIONS LP 8QFQHK
3/18/24 0:00,-1074.79,ACH DEBIT TAX AUTHORITY PAYMENT 6B8ZX3IC3VCF
3/18/24 0:00,-1074.79,ACH DEBIT PAYMENT PROCESSOR PAYABLES ROCKBRIDGE MERIDIAN PLC O3OTZ2F50X8TLE 9
3/19/24 0:00,-1074.79,ACH DEBIT PAYMENT PROCESSOR PAYABLES NORTHPOINT ATLAS LTD GV503CVXX5
3/19/24 0:00,-1074.79,ACH DEBIT PAYMENT PROCESSOR PAYABLES BLUE HARBOR PARK SYSTEMS PLC NI3SJWMON4C
2/1/24 0:00,-1050,ACH DEBIT TAX AUTHORITY PAYMENT I2CZL5276I24T
10/14/22 0:00,-1044.8,ACH DEBIT TAX AUTHORITY PAYMENT Z6UKGIW
5/31/23 0:00,-1035.09,ACH DEBIT TAX AUTHORITY PAYMENT KJRJ8LG2VPZEVJ
8/10/23 0:00,-1023,ACH DEBIT CARD PROCESSOR ACH PMT CROWNWELL GROUP LP SYC8I7
10/3/23 0:00,-1016.81,INTERNET TRANSFER TO DDA# 20011767558 ON25 AT 17.29
3/1/24 0:00,-1000,ACH DEBIT PAYMENT PROCESSOR PAYABLES LAKECREST RIDGE CORP KO37C003
11/21/23 0:00,-1000,ACH DEBIT PAYMENT PROCESSOR PAYABLES NORTHPOINT CANYON CORP 0WG5XD
3/15/23 0:00,-1000,ACH DEBIT CARD PROCESSOR ACH PMT ROCKBRIDGE HEIGHTS HOLDINGS LTD 24PIBPGGU2Z
8/9/22 0:00,-972,ACH DEBIT CARD PROCESSOR ACH PMT GRANITE PEAK BLOOM INC SNWGT5RKGM31L831
2/20/23 0:00,-966.9,INTERNET TRANSFER TO DDA# 20051577192 ON09 AT 02.58
6/1/23 0:00,-965.35,INCOMING WIRE MEADOWLARK PROPERTIES CORP NL3LTWS7PQHEK
6/1/23 0:00,-965.35,ACH DEBIT PAYMENT PROCESSOR PAYABLES CROWNWELL SHORE LTD WZSHCM 3
9/6/22 0:00,-948,"ZELLE DEBIT PAYMENT TO: ""S. NGUYEN"" . ID: ES15XZTH4YYZ"
3/18/24 0:00,-926.37,ACH DEBIT PAYMENT PROCESSOR PAYABLES GREENLINE ATLAS PROJECTS LTD 4H5WYLZ
8/16/23 0:00,-926.37,ZELLE DEBIT PAYMENT TO: D. PATEL . ID: CV5J80
3/16/23 0:00,-926.37,ACH DEBIT TAX AUTHORITY PAYMENT 4JVDBR 1
6/16/23 0:00,-926.37,MOBILE DEPOSIT 7IU
2/16/24 0:00,-926.37,ACH DEBIT TAX AUTHORITY PAYMENT 78HKP9MWLLLQ
7/17/23 0:00,-926.37,ACH DEBIT PAYMENT PROCESSOR PAYABLES BAYVIEW CAPITAL LTD H8ZGWNU6I7
4/17/23 0:00,-926.37,ACH DEBIT PAYMENT PROCESSOR PAYABLES WILLOWBEND CREEK CO F546IEAWX
1/17/24 0:00,-926.37,ACH DEBIT CARD PROCESSOR ACH PMT WESTHAVEN VENTURES LLC YXYBU2RU
11/16/23 0:00,-926.37,INTERNET TRANSFER TO DDA# 20076578493 ON07 AT 22.03
9/18/23 0:00,-926.37,INTERNET TRANSFER TO DDA# 20512366464 ON04 AT 02.20
5/16/23 0:00,-926.37,ZELLE DEBIT PAYMENT TO: V. THOMAS . ID: SWOOIAG0NO8VG 7
12/18/23 0:00,-926.37,ACH DEBIT PAYMENT PROCESSOR PAYABLES IRONWOOD PARK PLC XLE39CB7GE
10/16/23 0:00,-926.37,"ACH DEBIT PAYMENT PROCESSOR PAYABLES ""SPRINGLINE HOLLOW DATA INC"" DXUB21"
8/22/23 0:00,-896.44,ACH DEBIT TAX AUTHORITY PAYMENT XGXSPFC
2/20/24 0:00,-865.8,ACH DEBIT PAYMENT PROCESSOR PAYABLES GRANITE PEAK SYSTEMS LLC S22WR688HDK0
12/11/22 0:00,-852.94,ACH DEBIT PAYMENT PROCESSOR PAYABLES CLEARWATER BAY LLC HZ2VO73EJ6DC
2/18/24 0:00,-845.4,ACH DEBIT PAYMENT PROCESSOR PAYABLES BRIGHTLINE PARK PLC CXA5SL1KLNEW1Q
4/22/23 0:00,-838.34,ACH DEBIT TAX AUTHORITY PAYMENT FN5BI4
2/20/23 0:00,-820.74,"ACH CREDIT ACCOUNTING APP ITKMQIV0S67MN DEPOSIT LAKECREST DIGITAL LTD, L 26E917V74IPJB1Q"
